participant_code,profile_dimension,profile_value,n_events,n_positions,n_trials_from_events,n_trials_from_positions,mean_log_dt_ms,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate,mean_time_to_first_correct_ms,mean_time_to_stability_ms,mean_revisions,wrong_first_rate
Chokdee`,expected_char_class,arabic_numeral,15,5,2,2,5.2950259669239825,0.431500097888309,0.3333333333333333,0.06666666666666667,0.2,0.0,9916.8,9916.8,0.0,0.2
Chokdee`,expected_char_class,english_punctuation,5,3,1,1,6.0627826138781415,2.287886697732815,0.2,0.0,0.2,0.0,8038.333333333333,8038.333333333333,0.0,0.6666666666666666
Chokdee`,expected_char_class,thai_consonant,780,543,15,15,5.006501568997995,0.1318653627280332,0.15128205128205127,0.03205128205128205,0.001282051282051282,0.008974358974358974,15818.758747697973,15859.031307550644,0.007366482504604052,0.17495395948434622
Chokdee`,expected_char_class,thai_diacritic,17,7,5,5,5.216170209909978,0.9658253209245496,0.29411764705882354,0.058823529411764705,0.0,0.0,20711.14285714286,20711.14285714286,0.0,0.2857142857142857
Chokdee`,expected_char_class,thai_numeral,42,4,2,2,5.882195617153521,3.536025862834868,0.4523809523809524,0.023809523809523808,0.0,0.0,53669.75,53669.75,0.0,0.75
Chokdee`,expected_char_class,thai_tone_mark,64,57,14,14,4.913041230735555,-1.2893927433416739,0.0625,0.0,0.0,0.0,17434.070175438595,17587.157894736843,0.017543859649122806,0.17543859649122806
Chokdee`,expected_char_class,thai_vowel_mark,354,248,15,15,5.106163624058559,-0.402524305638046,0.1497175141242938,0.01694915254237288,0.0,0.002824858757062147,15886.282258064517,15969.233870967742,0.012096774193548387,0.1975806451612903
Chokdee`,expected_char_class,whitespace,25,19,8,8,5.352586330898316,-0.3423573491860132,0.12,0.0,0.0,0.0,20607.315789473683,20607.315789473683,0.0,0.2631578947368421
Chokdee`,expected_hand_proxy,<missing>,13,13,7,7,4.476302246827535,-1.520655126548276,0.0,0.0,0.0,0.0,17860.384615384617,17860.384615384617,0.0,0.0
Chokdee`,expected_hand_proxy,left,332,237,15,15,5.107979000730018,0.2617925188608091,0.14156626506024098,0.015060240963855422,0.0,0.0030120481927710845,17717.607594936708,17804.021097046414,0.008438818565400843,0.20253164556962025
Chokdee`,expected_hand_proxy,right,945,630,15,15,5.054714464891051,-0.02775748301787051,0.1671957671957672,0.030687830687830688,0.005291005291005291,0.007407407407407408,15487.950793650794,15536.65873015873,0.009523809523809525,0.18095238095238095
Chokdee`,expected_hand_proxy,thumb,25,19,8,8,5.352586330898316,-0.3423573491860132,0.12,0.0,0.0,0.0,20607.315789473683,20607.315789473683,0.0,0.2631578947368421
Chokdee`,expected_layout,<missing>,13,13,7,7,4.476302246827535,-1.520655126548276,0.0,0.0,0.0,0.0,17860.384615384617,17860.384615384617,0.0,0.0
Chokdee`,expected_layout,COMMON,25,19,8,8,5.352586330898316,-0.3423573491860132,0.12,0.0,0.0,0.0,20607.315789473683,20607.315789473683,0.0,0.2631578947368421
Chokdee`,expected_layout,EN,20,8,2,2,5.486965128662522,0.8955967478494354,0.3,0.05,0.2,0.0,9212.375,9212.375,0.0,0.375
Chokdee`,expected_layout,TH,1257,859,15,15,5.0619052466119,0.03402733480740835,0.1583134447096261,0.026252983293556086,0.0007955449482895784,0.006364359586316627,16161.563445867287,16221.12805587893,0.009313154831199068,0.1850989522700815
Chokdee`,expected_shift_required,0,1167,838,15,15,5.02106821506041,-0.16805306376982246,0.14138817480719795,0.027420736932305057,0.004284490145672665,0.001713796058269066,15998.86754176611,16047.723150357995,0.007159904534606206,0.17899761336515513
Chokdee`,expected_shift_required,1,135,48,12,12,5.531720361936059,1.838839159256544,0.31851851851851853,0.014814814814814815,0.0,0.044444444444444446,19603.541666666668,19816.5625,0.041666666666666664,0.3541666666666667
