participant_code,profile_dimension,profile_value,n_events,n_positions,n_trials_from_events,n_trials_from_positions,mean_log_dt_ms,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate,mean_time_to_first_correct_ms,mean_time_to_stability_ms,mean_revisions,wrong_first_rate
DDDD,expected_char_class,english_punctuation,3,3,1,1,7.368043663685971,0.7092067328168893,0.0,0.0,0.0,0.0,14654.333333333334,14654.333333333334,0.0,0.0
DDDD,expected_char_class,thai_consonant,716,520,14,14,6.216919235380801,0.23678451535251716,0.13268156424581007,0.0782122905027933,0.0013966480446927375,0.0,40993.963461538464,41076.234615384616,0.013461538461538462,0.11538461538461539
DDDD,expected_char_class,thai_diacritic,17,7,5,5,6.446767493100691,0.41435737662167993,0.29411764705882354,0.17647058823529413,0.0,0.0,50751.71428571428,50751.71428571428,0.0,0.2857142857142857
DDDD,expected_char_class,thai_numeral,4,4,2,2,6.848188970731056,0.45783702163573226,0.0,0.0,0.0,0.0,35846.0,35846.0,0.0,0.0
DDDD,expected_char_class,thai_tone_mark,114,54,13,13,5.998951386431639,0.20149737423239195,0.2719298245614035,0.10526315789473684,0.0,0.0,40187.87037037037,40407.7037037037,0.018518518518518517,0.16666666666666666
DDDD,expected_char_class,thai_vowel_mark,334,237,14,14,6.212695002646043,0.21650039674867716,0.1497005988023952,0.09580838323353294,0.0,0.0,40669.06751054852,40708.73417721519,0.004219409282700422,0.14345991561181434
DDDD,expected_char_class,whitespace,21,19,8,8,6.321532030832675,0.2280655512785984,0.047619047619047616,0.0,0.0,0.0,36796.89473684211,36796.89473684211,0.0,0.05263157894736842
DDDD,expected_hand_proxy,<missing>,32,13,7,7,6.178913572372983,0.2646465645273443,0.3125,0.0,0.0,0.0,43221.0,43221.0,0.0,0.07692307692307693
DDDD,expected_hand_proxy,left,318,224,14,14,6.3447437907337285,0.3059035776242103,0.14779874213836477,0.0880503144654088,0.0031446540880503146,0.0,42535.55357142857,42577.52232142857,0.004464285714285714,0.13392857142857142
DDDD,expected_hand_proxy,right,877,606,14,14,6.156311256884471,0.2072668055123734,0.15393386545039908,0.08551881413911061,0.0,0.0,40168.09405940594,40258.27887788779,0.013201320132013201,0.1254125412541254
DDDD,expected_hand_proxy,thumb,21,19,8,8,6.321532030832675,0.2280655512785984,0.047619047619047616,0.0,0.0,0.0,36796.89473684211,36796.89473684211,0.0,0.05263157894736842
DDDD,expected_layout,<missing>,32,13,7,7,6.178913572372983,0.2646465645273443,0.3125,0.0,0.0,0.0,43221.0,43221.0,0.0,0.07692307692307693
DDDD,expected_layout,COMMON,21,19,8,8,6.321532030832675,0.2280655512785984,0.047619047619047616,0.0,0.0,0.0,36796.89473684211,36796.89473684211,0.0,0.05263157894736842
DDDD,expected_layout,EN,10,8,2,2,6.949093300573219,0.5355356460785683,0.1,0.0,0.0,0.0,30701.0,30701.0,0.0,0.125
DDDD,expected_layout,TH,1185,822,14,14,6.200187818342004,0.23096621912072965,0.15274261603375527,0.08691983122362869,0.0008438818565400844,0.0,40905.378345498786,40983.301703163015,0.010948905109489052,0.12773722627737227
